source,target,index,start_x,start_y,start_z,rotate,rotation_plane,rotation_degree_idx,coverage,compartment
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,3,1,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,3,2,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,15,20,0,1,3,3,0.144,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,0,0,0,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,1,1,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,1,2,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,1,3,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,2,1,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,2,2,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,2,3,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,3,1,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,3,2,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,7,10,1,3,3,0.141,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,0,0,0,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,1,1,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,1,2,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,1,3,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,2,1,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,2,2,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,2,3,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,3,1,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,3,2,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,5,4,1,3,3,0.114,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,0,0,0,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,1,1,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,1,2,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,1,3,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,2,1,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,2,2,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,2,3,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,3,1,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,3,2,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,38,24,6,1,3,3,0.112,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,0,0,0,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,1,1,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,1,2,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,1,3,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,2,1,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,2,2,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,2,3,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,3,1,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,3,2,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,5,10,1,3,3,0.064,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,0,0,0,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,1,1,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,1,2,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,1,3,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,2,1,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,2,2,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,2,3,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,3,1,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,3,2,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,44,5,4,1,3,3,0.077,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,0,0,0,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,1,1,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,1,2,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,1,3,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,2,1,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,2,2,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,2,3,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,3,1,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,3,2,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,12,3,1,3,3,0.156,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,0,0,0,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,1,1,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,1,2,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,1,3,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,2,1,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,2,2,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,2,3,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,3,1,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,3,2,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,13,13,9,1,3,3,0.222,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,0,0,0,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,1,1,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,1,2,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,1,3,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,2,1,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,2,2,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,2,3,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,3,1,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,3,2,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,42,9,4,1,3,3,0.174,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,0,0,0,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,1,1,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,1,2,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,1,3,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,2,1,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,2,2,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,2,3,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,3,1,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,3,2,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,23,12,4,1,3,3,0.068,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,0,0,0,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,1,1,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,1,2,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,1,3,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,2,1,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,2,2,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,2,3,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,3,1,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,3,2,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,27,4,13,1,3,3,0.08,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,0,0,0,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,1,1,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,1,2,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,1,3,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,2,1,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,2,2,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,2,3,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,3,1,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,3,2,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,36,8,13,1,3,3,0.139,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,0,0,0,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,1,1,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,1,2,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,1,3,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,2,1,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,2,2,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,2,3,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,3,1,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,3,2,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,4,15,10,1,3,3,0.073,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,0,0,0,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,1,1,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,1,2,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,1,3,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,2,1,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,2,2,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,2,3,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,3,1,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,3,2,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,37,16,8,1,3,3,0.171,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,0,0,0,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,1,1,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,1,2,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,1,3,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,2,1,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,2,2,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,2,3,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,3,1,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,3,2,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,24,6,1,3,3,0.085,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,0,0,0,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,1,1,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,1,2,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,1,3,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,2,1,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,2,2,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,2,3,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,3,1,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,3,2,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,33,26,1,1,3,3,0.061,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,0,0,0,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,1,1,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,1,2,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,1,3,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,2,1,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,2,2,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,2,3,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,3,1,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,3,2,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,14,10,2,1,3,3,0.18,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,0,0,0,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,1,1,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,1,2,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,1,3,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,2,1,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,2,2,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,2,3,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,3,1,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,3,2,0.147,cerebro
example_data_LR.h5,example_data_HR.h5,0,40,4,6,1,3,3,0.147,cerebro
